Electorate,15-29 years (%),30-64 years (%),65 years and over (%),No qualification (%),Level 1 certificate (%),Level 2 certificate (%),Level 3 certificate (%),Level 4 certificate (%),Level 5 diploma (%),Level 6 diploma (%),Bachelor degree and level 7 qualification (%),Post-graduate and honours degrees (%),Masters degree (%),Doctorate degree (%),Overseas secondary school qualification (%),Total people - religious affiliation (%),  Adventist (%),  Anglican (%),  Baptist (%),  Catholicism (%),"  Evangelical, Born Again and Fundamentalist (%)",  Jehovah's Witnesses (%),  Latter-day Saints (%),  Methodist (%),  Pentecostal (%),"  Presbyterian, Congregational and Reformed (%)","  Maori Religions, Beliefs and Philosophies (%)",  Buddhism (%),  Hinduism (%),  Islam (%),  Judaism (%),  Spiritualism and New Age religions (%),  Sikhism (%),  Jedi (%),  Other religions (%),European (%),Maori (%),Pacific Peoples (%),Asian (%),Middle Eastern/Latin American/African (%),Other ethnicity (%),Regular smoker (%),Ex-smoker (%),Never smoked regularly (%),No dependent children (%),One dependent child (%),Two dependent children (%),Three dependent children (%),Four or more dependent children (%),Year
maungakiekie,31.23190736571245,46.96043743969122,9.917443979843465,6.5187091240484625,5.135627747400021,5.135627747400021,7.687359279511097,4.084914763589579,3.613166076980808,3.4630642221507455,15.567706658089417,3.0449233408384258,4.0956363246488685,0.8470033236839284,8.019727672349095,88.34566312855152,0.2573174654229656,6.958293127479361,1.1257639112254743,10.893106036238876,0.24659590436367537,0.27876058754154603,0.4074193202530289,1.4902969872413423,0.9756620563954111,4.824702476680605,0.32164683177870695,2.2836925056288195,4.470890961724027,2.669668703763268,0.2251527822450949,0.418140881312319,0.5896858582609628,0.0,0.3109252707194168,48.943926235659916,5.1999571137557625,5.993352632143241,24.273614238233087,2.7876058754154607,0.9756620563954111,7.912512061756191,12.4048461455988,47.57156642007076,1.9191594296129515,2.851935241771202,2.337300310925271,0.6861799077945749,0.1929880990672242,2017
mt albert,19.80107465416714,48.73670972904996,11.935520749971419,8.883045615639649,7.854121413055905,7.293929347204756,7.499714187721504,6.242140162341374,3.3382874128272553,3.555504744483823,14.141991539956555,2.972447696353035,3.109637590030868,0.7316794329484394,6.116382759803361,99.26832056705156,0.3658397164742197,10.940894020807134,1.6119812507145306,11.20384131702298,0.3887046987538585,0.4115696810334972,0.6173545215502457,2.469418086200983,1.3947639190579628,5.567623185092032,0.2858122784954842,1.4290613924774207,1.3490339544986854,1.5205213215959756,0.4801646278724134,0.37727220761403907,0.14862238481765175,0.0,0.2743797873556648,75.58019892534583,6.790899737052704,6.87092717503144,9.831942380244655,1.223276551960672,1.3147364810792272,7.648336572539156,16.657139590716817,47.73065050874585,2.3207957013833314,3.8070195495598496,4.275751686292443,1.4290613924774207,0.342974734194581,2017
mt roskill,25.524079320113312,48.347497639282345,11.520302171860246,8.79131255901794,6.373937677053824,6.47780925401322,7.308781869688385,4.929178470254957,3.758262511803588,3.3238904627006614,15.845136921624173,3.4844192634560907,3.5127478753541075,0.6043437204910292,6.79886685552408,94.66477809254013,0.20774315391879133,7.771482530689329,1.7752596789423984,10.802644003777148,0.424929178470255,0.26440037771482533,0.6421152030217185,1.8885741265344664,1.1425873465533523,5.089707271010387,0.4060434372049103,2.1246458923512748,3.2011331444759206,1.388101983002833,0.3305004721435316,0.43437204910292726,0.4060434372049103,0.0,0.32105760151085927,63.654390934844194,7.355996222851748,7.355996222851748,16.34560906515581,1.8602455146364494,1.1520302171860246,8.838526912181303,16.043437204910294,47.31822474032106,1.8696883852691217,3.286118980169972,2.983947119924457,0.8309726156751653,0.20774315391879133,2017
new lynn,21.365832235397452,46.717171717171716,11.29776021080369,11.561264822134387,7.795344751866491,7.20245937637242,7.575757575757576,6.258234519104085,3.140096618357488,3.370663153271849,10.880544576196751,2.272727272727273,2.1958717610891525,0.5489679402722881,6.63153271848924,98.25428194993412,0.38427755819060166,8.19060166886254,1.932367149758454,10.51822573561704,0.5379885814668423,0.6587615283267457,1.196750109793588,2.9973649538866933,2.162933684672815,6.027667984189724,0.5050505050505051,2.2837066315327186,3.0742204655248133,1.8664909969257797,0.18664909969257795,0.5270092226613966,0.24154589371980675,0.0,0.3184014053579271,60.99033816425121,9.771629336846727,14.09749670619236,15.865173473869126,1.8884497145366712,1.2955643390426,9.92534036012297,15.140535792709706,45.37768994290733,2.250768555116381,3.831796223100571,3.612209046991656,1.3504611330698288,0.4501537110232762,2017
north shore,20.651893841793353,48.29940736923473,12.316413295542386,9.314609636691575,7.510950785879928,7.6526668384437,7.639783560937903,6.055140427724813,3.530018036588508,3.6202009791290903,14.287554753929399,2.898737438804432,3.014686936356609,0.7085802628188611,6.892553465601649,99.21412007214634,0.2061324400927596,10.332388559649575,1.3656274156145323,12.625611955681526,0.4122648801855192,0.3091986601391394,0.47668126771450653,2.2674568410203553,1.7263591857768614,5.745941767585673,0.37361504766812675,1.8809585158464315,1.8165421283174439,1.2625611955681526,0.23189899510435455,0.3993816026797217,0.06441638752898737,0.0,0.33496521515073435,71.78562226230353,7.6011337284205105,5.784591600103066,15.266683844370007,1.6232929657304818,1.27544447307395,7.794382891007472,15.627415614532335,49.9871167224942,2.6281886111826847,4.032465859314609,4.251481576913166,1.2625611955681526,0.36073177016232927,2017
northcote,20.413223140495866,47.55739210284665,11.72635445362718,8.934802571166207,7.162534435261708,7.052341597796143,7.704315886134068,5.876951331496786,3.314967860422406,3.452708907254362,13.27823691460055,2.56198347107438,2.910927456382002,0.7070707070707071,8.255280073461892,98.58585858585859,0.24793388429752067,9.449035812672177,2.0752984389348024,11.166207529843893,0.3122130394857668,0.40404040404040403,0.8172635445362718,2.5436179981634526,2.102846648301194,6.473829201101928,0.34894398530762166,2.16712580348944,2.5436179981634526,1.5794306703397611,0.27548209366391185,0.37649219467401285,0.12855831037649218,0.0,0.2938475665748393,64.95867768595042,6.446280991735537,6.124885215794307,20.56932966023875,1.5886134067952251,1.2947658402203857,6.997245179063361,14.784205693296604,49.990817263544535,3.0486685032139578,4.11386593204775,4.5270890725436175,1.386593204775023,0.34894398530762166,2017
pakuranga,37.06689910655916,41.31619089126171,8.324253650032688,7.31096099368054,4.6415341032904776,5.022880801917629,10.568751361952495,3.7698845064284154,3.4539115275659187,2.9091305295271304,15.16670298539987,2.7348006101547178,3.7698845064284154,0.6428415776857703,10.06755284375681,93.39725430376988,0.23970363913706688,4.990193942035302,1.1985181956853346,9.9368054042275,0.40313793854870345,0.23970363913706688,0.56657223796034,1.8086729134887773,1.449117454783177,5.1100457616038355,0.23970363913706688,3.1706254085857486,6.057964698191327,3.584658967095228,0.18522553933318806,0.3922423185879277,0.708215297450425,0.0,0.33776421878404883,42.36217040749619,5.219001961211593,6.352146437132272,36.40226628895184,2.8001743299193724,0.7735890172150794,8.280671170189583,11.222488559599041,51.43822183482241,1.8413597733711047,3.007191109174112,2.821965569840924,0.7409021573327522,0.18522553933318806,2017
papakura,18.802145411203814,46.67759237187127,16.544994040524433,10.764302741358762,8.21662693682956,7.255661501787842,6.659713945172825,6.384088200238379,3.4564958283671037,3.8811084624553036,12.224374255065554,2.696662693682956,3.1361740166865317,0.7747318235995232,6.1084624553039335,97.60876042908224,0.18623361144219308,11.211263408820024,1.7803933253873658,9.661799761620978,0.4171632896305125,0.4916567342073897,0.5065554231227652,2.1230631704410015,1.5792610250297976,5.803039332538736,0.4693087008343266,1.4675208581644816,2.9126936829559003,1.5196662693682956,0.17878426698450536,0.4916567342073897,0.17133492252681765,0.0,0.3128724672228844,73.10041716328963,7.136471990464839,4.849523241954707,12.96185935637664,1.24404052443385,1.3855780691299164,7.762216924910607,17.416567342073897,47.63855780691299,2.16030989272944,3.4862932061978547,3.6129320619785457,1.2887365911799762,0.3873659117997616,2017
rodney,21.984907694380812,47.507074518258996,11.966042312356825,8.893680097021965,6.83870098369492,6.818488074383507,7.950410995822665,5.625926425010106,3.6046354938687504,3.5035709473116827,14.86996361676324,2.8837083950950007,3.234065489826169,0.8017787360194043,7.741544266271393,98.09998652472713,0.20212909311413557,8.819566096213448,1.5766069262902576,12.909311413556123,0.49184745991106316,0.3301441854197547,0.6333378250909582,2.1560436598841126,1.556394016978844,5.531599514890177,0.3166689125454791,2.2840587521897318,2.465974935992454,1.414903651798949,0.2560301846112384,0.39752054979113327,0.2223420024255491,0.0,0.363832367605444,64.08166015361812,6.818488074383507,4.702870233122221,23.015766069262902,1.8326371109014958,1.1723487400619863,7.2699097156717425,15.119256164937338,50.869155100390785,2.775906212100795,4.035844225845573,4.20428513677402,1.1790863764991242,0.28971836679692764,2017
tamaki,29.58927987798235,46.26865671641791,9.00969604532084,6.373243272687656,5.305588844100664,5.81762719250463,8.061880379126267,4.532084105022333,4.052729055452663,3.5515851399934637,17.72524240113302,4.1616733849003165,4.673711733304282,0.9369212332498094,7.233903475324109,95.92548207865781,0.18520536006100882,8.617496459309294,1.1765987580346442,10.992482841268112,0.29414968950866105,0.14162762828194791,0.45756618368013946,1.6886371064386099,0.8061880379126267,4.684606166249047,0.23967752478483492,2.2878309184006973,4.88070595925482,1.6777426734938445,0.30504412245342627,0.44667175073537424,0.7408214402440353,0.0,0.29414968950866105,62.882666957184874,5.719577296001743,5.3491665758797255,20.318117441987145,1.9936812288920363,1.1112321603660529,8.519446562806406,14.696590042488289,49.722191959908486,1.7648981370519665,3.2356465845952718,3.3228020481533935,1.1221265933108182,0.2614663906743654,2017
